City,Status,FSA,Neighborhood,UP2,Collections,Address,Mint Price,Last Price,Owner EOS,Owner,Ownership Changed At,Currency,Markup,Structure,Structure Name,Yield Per Month,Yield Per Month (Max),Property ID,Sale Price,Price Per UP2,UPX.Per.UP2
Fresno,Owned,FALSE,ROOSEVELT,217,"[{""name"":""The Fresno"",""yield_boost"":1.2}]",337 M ST,3038,3038,i5aik4ltprzh,alchemy,2020-10-20T19:42:58.500Z,,,,,36.75,44.1,78895900218921,,,
Staten Island,Owned,FALSE,CHELSEA-TRAVIS,51,"[{""name"":""Staten Islander"",""yield_boost"":1.2}]",110 BURKE AVE,3162,9950,i5aik4ltprzh,alchemy,2021-05-12T05:22:14.500Z,,,,,38.25,45.9,81300864989736,,,
Cleveland,Owned,FALSE,MOUNT PLEASANT,66,"[{""name"":""Clevelander"",""yield_boost"":1.25}]",3480 E 113 ST,3234,3234,i5aik4ltprzh,alchemy,2021-07-03T19:37:02.500Z,,,,,39.12,48.9,81843490242330,,,
Cleveland,Owned,FALSE,MOUNT PLEASANT,69,"[{""name"":""Clevelander"",""yield_boost"":1.25}]",3591 EAST BLVD,3381,3381,i5aik4ltprzh,alchemy,2021-07-03T19:36:30.000Z,,,,,40.9,51.12,81841510530815,,,
Fresno,Owned,FALSE,ROOSEVELT,248,"[{""name"":""The Fresno"",""yield_boost"":1.2}]",1598 E MALAGA AVE,3472,3472,i5aik4ltprzh,alchemy,2020-12-01T00:46:28.000Z,,,,,42,50.4,78859913091138,,,
Fresno,Owned,FALSE,ROOSEVELT,248,"[{""name"":""The Fresno"",""yield_boost"":1.2}]",1596 E MALAGA AVE,3472,3472,i5aik4ltprzh,alchemy,2020-12-01T00:46:56.500Z,,,,,42,50.4,78859778873410,,,
Cleveland,Owned,FALSE,BUCKEYE SHAKER,44,"[{""name"":""Clevelander"",""yield_boost"":1.25}]",2826 E 122ND ST,3520,3520,i5aik4ltprzh,alchemy,2021-07-01T20:33:34.500Z,,,,,42.58,53.22,81854311546869,,,
Chicago,Owned,FALSE,WEST PULLMAN,43,"[{""name"":""Chicagoan"",""yield_boost"":1.28}]",152 E 124TH PL,3526,3526,i5aik4ltprzh,alchemy,2021-06-13T08:41:10.000Z,,,,,42.65,54.59,81970376152071,,,
Birmingham,Owned,FALSE,LOZELLS,32,"[{""name"":""Birmingham"",""yield_boost"":1.25}]",44 CARPENTERS RD,3552,9000,i5aik4ltprzh,alchemy,2023-05-19T02:35:48.500Z,,,,,42.96,53.71,88714768113299,,,
Fresno,Owned,FALSE,HOOVER,256,"[{""name"":""The Fresno"",""yield_boost"":1.2}]",4526 N CHESTNUT AVE,3584,3584,i5aik4ltprzh,alchemy,2020-11-30T03:07:14.500Z,,,,,43.35,52.02,78939839747271,,,
